more_details_url,make,model,battery_,towbar,market_segment,number_of_seats,acceleration,top_speed,range,efficiency,fastcharge,germany_price,nl_price,uk_price,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1587/Citroen-e-C4,Citroen,e-C4,46.3,Towbar not possible,Hatchback,5,9.7,150,290,160,460,36040,40140,31995,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1911/Volvo-EX30-Twin-Motor-Performance,Volvo,EX30 Twin Motor Performance,64,Towbar possible,SUV,5,3.6,180,360,178,540,48490,49995,40995,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1934/Zeekr-001-Performance-AWD,Zeekr,001 Performance AWD,94,Towbar possible,Liftback,5,3.8,200,505,186,700,N/A,63490,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1710/Fisker-Ocean-Ultra,Fisker,Ocean Ultra,106.5,Towbar possible,SUV,5,4.2,200,535,199,640,57000,58000,49880,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1974/Tesla-Model-Y,Tesla,Model Y,57.5,Towbar possible,SUV,5,6.9,217,350,164,580,47567,47993,44990,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1906/BMW-i5-eDrive40-Sedan,BMW,i5 eDrive40 Sedan,81.2,Towbar possible,Sedan,5,6,193,475,171,710,70200,77572,74105,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1482/Kia-EV6-Long-Range-AWD,Kia,EV6 Long Range AWD,74,Towbar possible,SUV,5,5.2,185,400,185,1050,55980,57995,51745,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1650/Volkswagen-e-Up,Volkswagen,e-Up!,32.3,Towbar not possible,Hatchback,4,11.9,130,205,158,170,29995,N/A,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1919/BYD-DOLPHIN-604-kWh,BYD,DOLPHIN 60.4 kWh,60.5,Towbar possible,Hatchback,5,7,160,340,178,340,36240,36490,31000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1917/BYD-DOLPHIN-449-kWh-Active,BYD,DOLPHIN 44.9 kWh Active,44.9,Towbar not possible,Hatchback,5,10,150,255,176,260,29990,29990,26000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1818/Polestar-2-Long-Range-Single-Motor,Polestar,2 Long Range Single Motor,79,Towbar possible,Liftback,5,6.2,205,445,178,660,54475,55200,48950,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1407/Tesla-Model-X-Dual-Motor,Tesla,Model X Dual Motor,95,Towbar possible,SUV,7,3.9,250,475,200,660,113490,117493,100000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1179/Audi-Q4-e-tron-35,Audi,Q4 e-tron 35,52,Towbar possible,SUV,5,9,160,285,182,360,N/A,52105,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1205/Renault-Zoe-ZE50-R135,Renault,Zoe ZE50 R135,52,Towbar not possible,Hatchback,5,9.5,140,310,168,230,37840,36195,29995,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1493/Mercedes-EQB-350-4MATIC,Mercedes,EQB 350 4MATIC,66.5,Towbar not possible,SUV,7,6.2,160,340,196,490,58197,68266,56810,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1696/Lucid-Air-Dream-Edition-R,Lucid,Air Dream Edition R,118,Towbar not possible,Sedan,5,2.9,270,685,172,870,218000,222000,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1663/Hyundai-IONIQ-5-Long-Range-AWD,Hyundai,IONIQ 5 Long Range AWD,74,Towbar possible,SUV,5,5.1,185,385,192,1010,59200,60995,50445,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1713/Mercedes-EQE-300,Mercedes,EQE 300,89,Towbar possible,Sedan,5,7.3,210,515,173,650,N/A,71138,74345,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1680/Mazda-MX-30,Mazda,MX-30,30,Towbar not possible,SUV,5,9.7,140,170,176,210,35990,36440,31250,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1798/Volvo-XC40-Recharge-Twin-Motor,Volvo,XC40 Recharge Twin Motor,79,Towbar possible,SUV,5,4.8,180,390,203,580,59950,59995,51755,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1408/Tesla-Model-X-Plaid,Tesla,Model X Plaid,95,Towbar possible,SUV,7,2.6,262,455,209,630,133490,137493,125000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1842/Polestar-4-Long-Range-Dual-Motor,Polestar,4 Long Range Dual Motor,94,Towbar possible,Liftback,5,3.8,200,475,198,710,65000,65000,60000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1518/CUPRA-Born-170-kW---77-kWh,CUPRA,Born 170 kW - 77 kWh,77,Towbar not possible,Hatchback,4,7,160,450,171,630,46450,51990,41975,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1677/Lexus-RZ-450e,Lexus,RZ 450e,64,Towbar possible,SUV,5,5.6,160,320,200,480,68000,67495,64500,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1767/Lotus-Eletre,Lotus,Eletre,109,Towbar possible,Sedan,5,4.5,250,495,220,1040,95990,98690,89500,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1585/Opel-Corsa-e,Opel,Corsa-e,46.3,Towbar not possible,Hatchback,5,8.1,150,295,157,470,N/A,N/A,33930,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1945/Fiat-600e,Fiat,600e,50.8,Towbar not possible,SUV,5,9,150,305,167,490,36490,35990,31000,,,,,,,,,,,,,,,,,,,
